cluster,script_url_etld,fp_script,category,organization
000b4512-ca0a-4761-be62-cad58ecb29ad,pravoslavie.ru,True,Unknown,Unknown
00120e03-feac-4c6a-b441-a55be9dfba60,microsoft.com,True,misc,microsoft
001d7e71-dcad-4517-8b11-cc14b30cea75,iol.pt,True,Unknown,Unknown
0020fbc8-a6ec-460f-ab13-9ff34ee1e159,uchi.ru,True,Unknown,Unknown
0020fbc8-a6ec-460f-ab13-9ff34ee1e159,bestbuy.com,True,Unknown,Unknown
0026f35e-a904-4575-9691-d906d6ced2ff,24sata.hr,True,Unknown,Unknown
0026f35e-a904-4575-9691-d906d6ced2ff,xiaodutv.com,True,Unknown,Unknown
002cd272-12c0-42a0-94a5-69f75b43c44c,costco.com,True,Unknown,Unknown
0031d7e9-4b45-48db-8c86-c2a922cb6de9,serasa.com.br,True,Unknown,Unknown
003d74fc-bac8-42d7-b6ec-c020728796e4,pnc.com,True,Unknown,Unknown
004242ca-efe2-4597-8999-a917fa1f9c5b,mixcloud.com,True,Unknown,Unknown
0048060d-dc4c-4cab-ac5e-90ef12f64a16,bcs.ru,True,Unknown,Unknown
00500810-ffca-49dd-beff-f71dc4348e05,storesupply.com,True,Unknown,Unknown
0052385e-4c2c-4923-aaac-3780a0a4573e,ferrerorocher.com,True,Unknown,Unknown
00525b70-c878-4429-86f1-5f6cf5a5c09b,usps.com,True,Unknown,Unknown
0054dd7c-08bc-4187-9b2e-d119ac57c05f,gramota.ru,True,Unknown,Unknown
005be4ed-01da-434a-b092-48c8d7b32cb2,rakuten-sec.co.jp,True,Unknown,Unknown
005e20a4-1afb-45b6-8ffa-deb62568a0dd,thestar.com.my,True,Unknown,Unknown
005e8f6e-54c9-4feb-8752-dedcbe3b0da4,cigna.com,True,Unknown,Unknown
0062606b-acf6-4fe9-8852-b06d0996989e,ufl.edu,True,Unknown,Unknown
0070d103-56bc-4324-af06-770179748b9b,kemono.su,True,Unknown,Unknown
0073839a-039d-4406-974d-f5a6d71f6617,yamaha-motor.com,True,Unknown,Unknown
00773f6d-177a-41cb-b768-f10297991964,df-bet.org,True,Unknown,Unknown
0077d42a-8adc-4b52-b610-64ae4d2fe4d0,fitgirl-repacks.site,True,Unknown,Unknown
007b9a57-103f-4dc0-8fcb-e5979942650e,aq.ru,True,Unknown,Unknown
007cf3d1-923a-4863-94e7-53b88fb9d80f,poppen.de,True,Unknown,Unknown
00800633-b805-433b-94cb-70ec46321365,bhg.com,True,Unknown,Unknown
008030cd-8c67-461e-ae9a-5ec57c5b0299,motherjones.com,True,Unknown,Unknown
0083e73c-007f-4707-9d33-4b3ee68d0120,edx.org,True,Unknown,Unknown
0085ca69-9cf3-4b23-bfb6-be4e3293933b,wikimedia.org,True,hosting,wikimedia_foundation
00a0449f-abfe-4ad4-9711-2aabf25d6e5b,jennycraig.com,True,Unknown,Unknown
00a5f89d-f4bb-46ff-a843-de8eec656614,usbank.com,True,Unknown,Unknown
00b596b6-e0ab-4d81-91f9-6e961d056dee,websupport.sk,True,Unknown,Unknown
00b7afe1-070d-4403-8f00-90e5a16bee11,salonboard.com,True,Unknown,Unknown
00bdbf00-d8e9-4726-a8d3-a1d783c8ca1b,vanguard.com,True,Unknown,Unknown
00c20fdc-9aa5-44d3-b48b-4bf6ba96d6f9,qualys.com,True,Unknown,Unknown
00c5e9d9-85c0-48af-b69a-8fac77af79f2,shate-m.by,True,Unknown,Unknown
00d133f3-60ce-4a09-8a80-53518805a3a3,brevo.com,True,Unknown,Unknown
00d451f3-dcaf-4c38-a8cc-5213e2ce0129,renesas.com,True,Unknown,Unknown
00dadaf8-c905-43ca-b99d-f990955963fd,twitch.tv,True,audio_video_player,amazon_associates
00e549c1-b20b-4f6e-afe1-4f86beae41ac,southafricancasinos.co.za,True,Unknown,Unknown
00e633a8-5e7d-4daf-8a48-261fec1c74de,amazon.jobs,True,Unknown,Unknown
00e71eab-ecb0-4966-ab84-d2d17104c92e,codecademy.com,True,Unknown,Unknown
00e750f6-304f-4c3e-80c4-6b7ab79dcab5,dell.com,True,Unknown,Unknown
00f6c3b9-350f-407c-97b8-afce1c8e202a,farmaciaigea.com,True,Unknown,Unknown
00f86e64-8418-4df4-b6d6-8de2df59e569,poply.com,True,Unknown,Unknown
01007f68-1983-4cf9-adc2-8fff08a0f55a,163.com,True,advertising,netease
01054c06-1425-4685-bd03-be9bc34e7555,nielsen.com,True,Unknown,Unknown
010e5811-4beb-4ef1-9579-7ef8d958837a,iqiyi.com,True,advertising,baidu
0111a31f-972b-40f6-a74d-25db286e700a,autotrader.com,True,Unknown,Unknown
011240e1-ce85-4157-89a3-d758240c8a57,chicos.com,True,Unknown,Unknown
011240e1-ce85-4157-89a3-d758240c8a57,fundacionmapfre.org,True,Unknown,Unknown
0119a877-850c-49a2-8b83-a081a3c2dab4,steamgames.com,True,Unknown,Unknown
01200327-b2e6-456e-87db-250541fa705e,mlabs.com.br,True,Unknown,Unknown
01366ceb-6a49-4745-a1cb-9c1bd51cdd31,daiwa-am.co.jp,True,Unknown,Unknown
