cluster,domain_0,value_0,share_0,domain_1,value_1,share_1,domain_2,value_2,share_2,domain_3,value_3,share_3,domain_4,value_4,share_4,domain_5,value_5,share_5,domain_6,value_6,share_6,domain_7,value_7,share_7,domain_8,value_8,share_8,domain_9,value_9,share_9,domain_10,value_10,share_10,domain_11,value_11,share_11,domain_12,value_12,share_12
ff1179cf-595b-4595-96af-e35c2eee5d68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79f03376-9730-4627-903a-2cbbc82162bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcf1f931-12af-4c14-a693-bf500926e329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c07aff9-9151-4f8b-8e35-3110c97bb551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a56f6c20-b597-4d6d-ac25-1ad50e08bd4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e3b551e-d96e-403f-a7ed-1303d445adb8,vimeo,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c81c1f12-0d2d-4f0d-9660-f400932fba24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db83d0b8-74f4-4577-9c7f-49dfbd7be1d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589d6533-a3ce-480c-83c8-9b527b5c1b99,baidu,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ef31151-3af9-45c3-8d09-41d5d538acb5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80966385-1693-4fd5-80b7-63f423a51ae4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4359876-1191-45a3-aefa-75d6a2c3215f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67f3f7d1-aef2-4fd5-8101-c4fbcccd4569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0575bcd-fabf-4b6d-abed-9d6c5c710184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c1394d8-0f42-4c46-baf5-ed57f6d2206c,cloudflare,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08dde376-d104-48bf-b96a-6de8553848cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c4cecf1-b098-4fe9-a646-2d54534c8521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3352980-9c04-4c81-830b-1c6d6a79d5c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35d87f6b-5ad4-4794-b87e-24891093259e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90e14739-1712-47c4-9d79-d6233966dfdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54351ef2-dcdf-43a4-ada6-1b7ce0f35402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8372321-4baf-4bb3-82af-0ac05be9222c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639b0d4-6498-41b2-ab96-69048a0900cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce3c130f-d279-43ff-9591-50b8f37f7e44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eae617f5-9da0-4199-a994-5b82c3dae1b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54341bf1-2ac4-4613-bc0c-f557e209c7d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
befa2e6d-ce89-4c32-9701-18e2eca95927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138def3c-5a5d-4c89-bdd0-adfca306595b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fa55e43-630c-4a3b-bfb1-7afced14ad9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a81e08b-f838-46a8-b6fe-219076f8be3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02c124a2-283b-4418-8c33-50c8bdfdc971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b77bad2f-dba5-432b-bd94-b99d87d8173d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6f2939f-82ee-4ef1-979c-5cbad53342df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e6468aa-f059-41c0-a0e4-d9db51f816c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83886512-e5cd-45f0-b8d7-e424bc4e3942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e2372e0-46a3-4e1a-bfa3-18d8bf9f8f5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104cdb51-a595-4d40-8cbc-2c5ca00a2c22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47559b3b-fce6-44c0-948f-136a55d985b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83afe119-3d74-4165-8e9c-f5f1e915f0b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fa00c41-cbc6-4590-b15d-366e5856de75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbed4256-72cb-45eb-8214-ca249650e40e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f06251f7-8796-4939-a417-166992dbf28c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5333ca65-e0d1-4191-a649-ebb26790e9df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c273af5-b191-45a9-bfc5-dbb173b3a390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65b6d628-2017-459c-959c-844d7a31a990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3ec282d-8136-40e3-9555-079d2ff1a6cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2938de3-cc6b-4b12-a644-d3952d240089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7138c1b-f157-43d8-8979-ddeaa320942c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2af439a8-12f9-4df9-834c-637a2d20de7c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90f629c7-6c07-40b2-8986-336119643da3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a54ef1f2-9eae-4403-9ee6-99d92e153583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17672a83-65be-49a5-9b46-bf1f0d105aed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fefe4316-91c9-42b2-bf3a-fa74205193ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa7b3be0-e50f-449f-8e2e-20fb50267774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d71fc38-5676-4ecf-938e-ff3971321973,squarespace,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e642c69e-4962-4ae9-bcad-86a4afc0a04b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf6938fe-5194-4bb0-8d99-083d8ff51be5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09244e84-f699-4d2a-8d9c-af6caeabafa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02b6a17b-87b6-4a0c-88b5-9a76cb835e59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e11f457-2e0c-4d33-80ca-625e93460524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490a4373-af47-485a-be41-9d7e4bdace67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b7bcae-dba4-473f-aaaa-467159a2686a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50629040-bcec-4a30-814a-e107f5b1115c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95eb6935-45ea-44f4-9ef7-bc60a1663c1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36986539-00d5-4f76-85ff-57fe389cad80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddbeefb3-486c-4e63-829f-5fb09ee45775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b7c0fdf-a1e9-4aaf-8ccd-247b7c99a910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea589321-699a-4b6b-a1d6-672f0e1852fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
