cluster,domain_0,value_0,share_0,domain_1,value_1,share_1,domain_2,value_2,share_2,domain_3,value_3,share_3,domain_4,value_4,share_4,domain_5,value_5,share_5,domain_6,value_6,share_6,domain_7,value_7,share_7,domain_8,value_8,share_8,domain_9,value_9,share_9,domain_10,value_10,share_10,domain_11,value_11,share_11,domain_12,value_12,share_12
000b4512-ca0a-4761-be62-cad58ecb29ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00120e03-feac-4c6a-b441-a55be9dfba60,microsoft,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001d7e71-dcad-4517-8b11-cc14b30cea75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020fbc8-a6ec-460f-ab13-9ff34ee1e159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0026f35e-a904-4575-9691-d906d6ced2ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002cd272-12c0-42a0-94a5-69f75b43c44c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031d7e9-4b45-48db-8c86-c2a922cb6de9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003d74fc-bac8-42d7-b6ec-c020728796e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004242ca-efe2-4597-8999-a917fa1f9c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0048060d-dc4c-4cab-ac5e-90ef12f64a16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00500810-ffca-49dd-beff-f71dc4348e05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0052385e-4c2c-4923-aaac-3780a0a4573e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00525b70-c878-4429-86f1-5f6cf5a5c09b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0054dd7c-08bc-4187-9b2e-d119ac57c05f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005be4ed-01da-434a-b092-48c8d7b32cb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005e20a4-1afb-45b6-8ffa-deb62568a0dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005e8f6e-54c9-4feb-8752-dedcbe3b0da4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
