cookie_name,top_level_etld,hold_id,unique_ok,similarity_ok,passed_checkin,source_file
_ga,123av.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_VZGC2QQBZ8,123av.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
x-token,123av.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
__uid,15min.lt,False,False,False,False,potential_tracking_cookies_000000000000.csv
_pcid,15min.lt,False,False,False,False,potential_tracking_cookies_000000000000.csv
_pctx,15min.lt,False,False,False,False,potential_tracking_cookies_000000000000.csv
cX_P,15min.lt,False,False,False,False,potential_tracking_cookies_000000000000.csv
xbc,15min.lt,False,False,False,False,potential_tracking_cookies_000000000000.csv
Hm_lvt_1e8bfbf2a9c357adc57abdfb1fddd6f8,163.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
NNSSPID,163.com,True,True,True,True,potential_tracking_cookies_000000000000.csv
NTESwebSI,163.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
cna,1688.com,True,True,True,True,potential_tracking_cookies_000000000000.csv
isg,1688.com,True,True,True,True,potential_tracking_cookies_000000000000.csv
tfstk,1688.com,True,True,True,True,potential_tracking_cookies_000000000000.csv
__ar_v4,1mg.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_nv_hit,1mg.com,True,True,True,True,potential_tracking_cookies_000000000000.csv
jarvis-id,1mg.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
rl_group_id,1mg.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
rl_session,1mg.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
singular_device_id,1mg.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_k5a,20min.ch,False,True,False,True,potential_tracking_cookies_000000000000.csv
_vwo_uuid_v2,20min.ch,False,False,False,False,potential_tracking_cookies_000000000000.csv
OTGPPConsent,247sports.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
OptanonConsent,247sports.com,False,False,True,True,potential_tracking_cookies_000000000000.csv
_cb,247sports.com,False,True,False,True,potential_tracking_cookies_000000000000.csv
_pubcid_cst,247sports.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
cto_bidid,247sports.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
utag_main,247sports.com,False,False,True,True,potential_tracking_cookies_000000000000.csv
FCNEC,24h.com.vn,False,False,False,False,potential_tracking_cookies_000000000000.csv
__eoi,24h.com.vn,False,False,False,False,potential_tracking_cookies_000000000000.csv
__gpi,24h.com.vn,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_0MRSCM1XC6,24h.com.vn,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_24EL5B93N8,24h.com.vn,False,True,False,True,potential_tracking_cookies_000000000000.csv
_ga_DXMSLLTSEM,24h.com.vn,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_H107YS2RVP,24h.com.vn,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_JKXD8WBPKM,24h.com.vn,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_MXWQETGBSX,24h.com.vn,False,False,False,False,potential_tracking_cookies_000000000000.csv
cto_bundle,24h.com.vn,True,True,True,True,potential_tracking_cookies_000000000000.csv
jiyakeji_uuid,24h.com.vn,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga,360.com,True,True,True,True,potential_tracking_cookies_000000000000.csv
test_cookie_enable,360.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
ENVIRONMENT_DATA,365scores.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga,365scores.com,False,True,False,True,potential_tracking_cookies_000000000000.csv
HWWAFTSLTIME,51.la,False,False,False,False,potential_tracking_cookies_000000000000.csv
__51vcke__4ZVo3Me5SwOq1LON,51.la,True,True,True,True,potential_tracking_cookies_000000000000.csv
__51vcke__JfNYke3PYdazOc6Q,51.la,True,True,True,True,potential_tracking_cookies_000000000000.csv
__51vuft__4ZVo3Me5SwOq1LON,51.la,False,False,False,False,potential_tracking_cookies_000000000000.csv
__51vuft__JCggIvIMveYH97qM,51.la,False,False,False,False,potential_tracking_cookies_000000000000.csv
_abck,53.com,True,True,True,True,potential_tracking_cookies_000000000000.csv
_sfid_4602,53.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
akaalb_ALB_www_53_com,53.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
mbox,53.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
onlinebanking.53.com_https,53.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
s_ppvl,53.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
Hm_lpvt_ebbce83f0f73473afc2c1098b6d474e7,808fubo.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_K9964NME8Q,808fubo.com,False,True,False,True,potential_tracking_cookies_000000000000.csv
_ga_BZSTQNNL68,999.md,False,False,False,False,potential_tracking_cookies_000000000000.csv
amp_cookie_test2rbX8U7l6k5iwjcPbjWvXR,999.md,False,False,False,False,potential_tracking_cookies_000000000000.csv
amp_cookie_testDpqiGW4izs-9A55dwSebWl,999.md,False,False,False,False,potential_tracking_cookies_000000000000.csv
amp_cookie_teststPBZIITM-tRyC2POz8I-c,999.md,False,False,False,False,potential_tracking_cookies_000000000000.csv
amp_e741c0,999.md,False,False,False,False,potential_tracking_cookies_000000000000.csv
__eoi,9gag.com,True,True,True,True,potential_tracking_cookies_000000000000.csv
__gads,9gag.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga,9gag.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_YY84CFQCF5,9gag.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_iiq_fdata,9gag.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_pk_id.7.f7ab,9gag.com,False,True,False,True,potential_tracking_cookies_000000000000.csv
pg_mm2_cookie_a,9gag.com,False,True,False,True,potential_tracking_cookies_000000000000.csv
ts1,9gag.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga,9to5mac.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_J70SYZBTQ7,9to5mac.com,True,True,True,True,potential_tracking_cookies_000000000000.csv
_parsely_visitor,9to5mac.com,False,True,False,True,potential_tracking_cookies_000000000000.csv
_cb,aajtak.in,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_NRMQ8VL0P1,aajtak.in,False,False,False,False,potential_tracking_cookies_000000000000.csv
_scor_uid,aajtak.in,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_6QGLCJCPB2,aap.org,False,False,False,False,potential_tracking_cookies_000000000000.csv
_ga_GMZCQS1K47,aap.org,False,False,False,False,potential_tracking_cookies_000000000000.csv
calltrk_landing,aap.org,False,False,False,False,potential_tracking_cookies_000000000000.csv
AMCV_AA853BC75245B3CE0A490D4D%40AdobeOrg,aarp.org,False,True,False,True,potential_tracking_cookies_000000000000.csv
OptanonConsent,aarp.org,False,False,False,False,potential_tracking_cookies_000000000000.csv
_li_dcdm_c,aarp.org,False,True,False,True,potential_tracking_cookies_000000000000.csv
_svsidss,aarp.org,False,False,False,False,potential_tracking_cookies_000000000000.csv
com.adobe.alloy.getTld,aarp.org,False,True,False,True,potential_tracking_cookies_000000000000.csv
cto_bidid,aarp.org,False,False,False,False,potential_tracking_cookies_000000000000.csv
cto_bundle,aarp.org,False,False,False,False,potential_tracking_cookies_000000000000.csv
mbox,aarp.org,False,True,False,True,potential_tracking_cookies_000000000000.csv
nlbi_2691787,aarp.org,False,False,False,False,potential_tracking_cookies_000000000000.csv
permutive-id,aarp.org,False,True,False,True,potential_tracking_cookies_000000000000.csv
s_ppv,aarp.org,False,False,True,True,potential_tracking_cookies_000000000000.csv
sa-user-id-v3,aarp.org,False,False,False,False,potential_tracking_cookies_000000000000.csv
ab.storage.sessionId.2d7b1c47-ad59-4373-ae49-c81faeaf82ab,abc.com,False,False,False,False,potential_tracking_cookies_000000000000.csv
